Date,Time,Location,Description
1/2/2018,2303,1415 Jefferson Park Avenue,TRESPASSING
1/3/2018,105,1215 Lee Street,FOUND PROPERTY
1/3/2018,238,2304 Ivy Road,FALSE DRIVER’S LICENSE
1/3/2018,1057,300 Massie Road,FOUND PROPERTY
1/3/2018,1504,579 McCormick Road,BURST WATER PIPE
1/3/2018,2251,1215 Lee Street,DRUNK IN PUBLIC
1/4/2018,1109,1204 W. Main Street,VANDALISM
1/4/2018,1432,1215 Lee Street,ASSIST AGENCY
1/4/2018,1714,Emmet Street,DRIVING UNDER THE INFLUENCE
1/4/2018,2019,163 Rugby Road,BURST WATER PIPE
1/4/2018,2049,Emmet Street and Sprigg Lane,ASSIST AGENCY
1/4/2018,2258,1215 Lee Street,TRESPASS
1/5/2018,1031,180 McCormick Road,VANDALISM
1/5/2018,1723,52 Monroe Hill Road,ASSIST CITIZEN
1/5/2018,1708,1540,STALKING
1/5/2018,1751,1215 Lee Street,LARCENY
1/6/2018,233,20 Duffy Boulevard,SEX OFFENSE
1/6/2018,1958,1215 Lee Street,THREATENING TWEETS
1/6/2018,2049,1210 Lee Street,LARCENY
1/6/2018,2149,1215 Lee Street,ASSIST AGENCY
1/7/2018,948,1215 Lee Street,MISSING PERSON
1/7/2018,1911,1215 Lee Street,ASSAULT
1/8/2018,818,121o Lee Street,VANDALISM
1/8/2018,831,1210 Lee Street,HIT AND RUN
1/8/2018,831,2270 Ivy Road,PROPERTY DAMAGE
1/8/2018,1127,160 McCormick Road,PROPERTY DAMAGE
1/8/2018,1252,1815 Stadium Road,FOUND PROPERTY
1/8/2018,1330,141 Cabell Drive,ASSIST CITIZEN
1/8/2018,2155,1400 University Avenue,ASSIST CITIZEN
1/9/2018,1701,1215 Lee Street,THREATENING TWEET
1/9/2018,2255,2311 Peyton Drive,ASSIST AGENCY
1/9/2018,706,100 Darden Blvd.,TRAFFIC ACCIDENT
1/9/2018,1035,160 McCormick Road,ASSIST CITIZEN
1/9/2018,1736,1215 Lee Street,DIP
1/9/2018,1918,380 Crispell Drive,TRAFFIC ACCIDENT
1/12/2018,1608,263 Colonnade Drive,ASSIST CITIZEN
1/12/2018,2021,1215 Lee Street,LOST PROPERTY
1/12/2018,2223,583 Brandon Avenue,ASSIST AGENCY
1/14/2018,1916,2304 Ivy Road,LOST PROPERTY
1/14/2018,2055,148 Amphitheater Way,FOUND PROPERTY
1/14/2018,28,1210 Lee Street,LARCENY
1/15/2018,1600,1240 Lee Street,LARCENY
1/15/2018,1657,432 McCormick Road,LARCENY
1/15/2018,1829,395 McCormick Road,HARASSMENT
1/16/2018,949,180 McCormick Road,ASSIST CITIZEN
1/16/2018,1421,163 Rugby Road,FRAUD
1/16/2018,2307,474 Seymour Road #4,DISORDER
1/17/2018,15,1215 Lee Street,FOUND PROPERTY
1/17/2018,1513,1335 Lee Street,ASSIST AGENCY
1/17/2018,1646,600 Massie Road,ASSIST AGENCY
1/17/2018,1746,156 Engineer’s Way,ASSIST AGENCY
1/17/2018,1920,100 Madison Lane,POSSESSION OF MARIJUANA
1/18/2018,1122,300 Massie Road,FOUND PROPERTY
1/19/2018,1025,145 McCormick Road,ACCIDENT
1/20/2018,151,Woody House,ASSIST CITIZEN/UNDERAGE POSSESSEION
1/20/2018,549,475 Seymour Road,WELFARE CHECK
1/21/2018,346,435 Tree House Dr,UNDERAGE POSSESION ASSIST CITIZEN
1/22/2018,2038,250 Hereford Drive,ASSIST CITIZEN
1/23/2018,1032,525 McCormick Road,LARCENY
1/23/2018,1424,1215 Lee Street,ACCIDENT
1/23/2018,1954,1215 Lee Street,VANDALISM
1/24/2018,540,774 Alderman Road,WELFARE CHECK
1/24/2018,1631,1215 Lee Street,SIMPLE ASSAULT
1/24/2018,2033,21 West Range,STALKING
1/25/2018,20,508 Floyd Drive,MEDICAL ASSIST/UNDERAGE POSSESSION
1/25/2018,134,520 Floyd Drive,MEDICAL ASSIST/UNDERAGE POSSESSION
1/25/2018,1050,180 Copeley Road,MEDICAL ASSIST
1/25/2018,1554,450 Whitehead Road,LARCENY
1/26/2018,19,435 Tree House Drive,MEDICAL ASSIST/UNDERAGE POSSESSION
1/26/2018,36,555 McCormick Road,VEHICLE TOW
1/26/2018,916,1215 Lee Street,TRAFFIC ACCIDENT
1/26/2018,1,2304 Ivy Road,ASSIST AGENCY
1/26/2018,1,2304 Ivy Road,ASSIST AGENCY
1/26/2018,1552,1215 Lee Street,LOST PROPERTY
1/26/2018,1846,57 Lambeth,ASSIST CITIZEN
1/27/2018,3,117 11th Street,D.I.P.
1/27/2018,40,35 Hancock Drive,MEDICAL ASSIST/UNDERAGE POSSESSION
1/27/2018,144,1515 University Avenue,ASSIST AGENCY
1/27/2018,323,600 Massie Road,SEXUAL ASSAULT
1/27/2018,1139,585 McCormick Road,FIRE NON
1/27/2018,1154,435 Tree House Drive,VANDALISM
1/28/2018,2243,571 McCormick Road,MEDICAL ASSIST/UNDERAGE POSSESSION
1/28/2018,214,291 McCormick Road,MEDICAL ASSIST/LIQUR LAW VIOLATION
1/28/2018,222,104 14th Street North West,ASSIST AGENCY
1/28/2018,220,57 Lambeth Commons,MEDICAL ASSIST/UNDERAGE POSSESSION
1/28/2018,436,565 McCormick Road,MEDICAL ASSIST/UNDERAGE POSSESSION
1/29/2018,24,1215 Lee Street,ASSIST AGENCY
1/29/2018,1039,1222 Jefferson Park Avenue,ASSIST AGENCY
1/29/2018,1910,1540 Jefferson Park Avenue,LOST PROPERTY
1/29/2018,2020,1210 Lee Street,LARCENY
1/30/2018,857,2304 Ivy Road,LOST PROPERTY
1/30/2018,1044,1204 West Main Street,SIMPLE ASSAULT
1/30/2018,1832,21 West Range,STALKING
1/31/2018,925,1335 Lee Street,DRUG/NARCOTICS VIOLATION
1/31/2018,1609,100 Darden Blvd,FRAUD
1/31/2018,2206,1215 Lee Street,ASSAULT
2/1/2018,1641,1001 Emmet Street,FRAUD
2/1/2018,2105,1215 Lee Street,ASSIST CITIZEN
2/1/2018,2203,1215 Lee Street,ASSIST AGENCY
2/2/2018,7,435 Tree House Drive,ASSIST CITIZEN/UNDERAGE POSSESSION
2/2/2018,846,1101 Millmont Street,ASSIST CITIZEN
2/2/2018,940,1210 Lee Street,HIT AND RUN
2/2/2018,953,1340 Jefferson Park Avenue,TRAFFIC ACCIDENT
2/2/2018,1342,1215 Lee Street,ASSIST AGENCY
2/2/2018,1612,1210 Lee Street,DOMESTIC DISTURBANCE
2/2/2018,2120,1215 Lee Street,LOST PROPERTY
