Date	Time	Location	Description
1-2-18	2303	1415 Jefferson Park Avenue	TRESPASSING	
1-3-18	0105	1215 Lee Street	FOUND PROPERTY	
1-3-18	0238	2304 Ivy Road	FALSE DRIVER’S LICENSE	
1-3-18	1057	300 Massie Road	FOUND PROPERTY	
1-3-18	1504	579 McCormick Road	BURST WATER PIPE	
1-3-18	2251	1215 Lee Street	DRUNK IN PUBLIC	
1-4-18	1109	1204 W. Main Street	VANDALISM	
1-4-18	1432	1215 Lee Street	ASSIST AGENCY	
1-4-18	1714	Emmet Street	DRIVING UNDER THE INFLUENCE	
1-4-18	2019	163 Rugby Road	BURST WATER PIPE	
1-4-18	2049	Emmet Street and Sprigg Lane	ASSIST AGENCY	
1-4-18	2258	1215 Lee Street	TRESPASS	
1-5-18	1031	180 McCormick Road	VANDALISM	
1-5-18	1723	52 Monroe Hill Road	ASSIST CITIZEN	
1-5-18	1708	1540	STALKING	
1-5-18	1751	1215 Lee Street	LARCENY	
1-6-18	0233	20 Duffy Boulevard	SEX OFFENSE	
1-6-18	1958	1215 Lee Street	THREATENING TWEETS	
1-6-18	2049	1210 Lee Street	LARCENY	
1-6-18	2149	1215 Lee Street	ASSIST AGENCY	
1-7-18	0948	1215 Lee Street	MISSING PERSON	
1-7-18	1911	1215 Lee Street	ASSAULT	
1-8-18	0818	121o Lee Street	VANDALISM	
1-8-18	0831	1210 Lee Street	HIT AND RUN	
1-8-18	0831	2270 Ivy Road	PROPERTY DAMAGE	
1-8-18	1127	160 McCormick Road	PROPERTY DAMAGE	
1-8-18	1252	1815 Stadium Road	FOUND PROPERTY	
1-8-18	1330	141 Cabell Drive	ASSIST CITIZEN	
1-8-18	2155	1400 University Avenue	ASSIST CITIZEN	
1-9-18	1701	1215 Lee Street	THREATENING TWEET	
1-9-18	2255	2311 Peyton Drive	ASSIST AGENCY	
1-9-18	0706	100 Darden Blvd.	TRAFFIC ACCIDENT	
1-9-18	1035	160 McCormick Road	ASSIST CITIZEN	
1-9-18	1736	1215 Lee Street	DIP	
1-9-18	1918	380 Crispell Drive	TRAFFIC ACCIDENT	
1-12-18	1608	263 Colonnade Drive	ASSIST CITIZEN	
1-12-18	2021	1215 Lee Street	LOST PROPERTY	
1-12-18	2223	583 Brandon Avenue	ASSIST AGENCY	
1-14-18	1916	2304 Ivy Road	LOST PROPERTY	
1-14-18	2055	148 Amphitheater Way	FOUND PROPERTY	
01-14-18	0028	1210 Lee Street	LARCENY	
01-15-18	1600	1240 Lee Street	LARCENY	
1-15-18	1657	432 McCormick Road	LARCENY	
1-15-18	1829	395 McCormick Road	HARASSMENT	
01-16-18	0949	180 McCormick Road	ASSIST CITIZEN	
01-16-18	1421	163 Rugby Road	FRAUD	
1-16-18	2307	474 Seymour Road #4	DISORDER	
01-17-18	0015	1215 Lee Street	FOUND PROPERTY	
01-17-18	1513	1335 Lee Street	ASSIST AGENCY	
01-17-18	1646	600 Massie Road	ASSIST AGENCY	
01-17-18	1746	156 Engineer’s Way	ASSIST AGENCY	
01-17-18	1920	100 Madison Lane	POSSESSION OF MARIJUANA	
01-18-18	1122	300 Massie Road	FOUND PROPERTY	
01-19-18	1025	145 McCormick Road	ACCIDENT	
01-20-18	0151	Woody House	ASSIST CITIZEN/UNDERAGE POSSESSEION	
01-20-18	0549	475 Seymour Road	WELFARE CHECK	
01-21-18	0346	435 Tree House Dr	UNDERAGE POSSESION ASSIST CITIZEN	
01-22-18	2038	250 Hereford Drive	ASSIST CITIZEN	
01-23-18	1032	525 McCormick Road	LARCENY	
01-23-18	1424	1215 Lee Street	ACCIDENT	
01-23-18	1954	1215 Lee Street	VANDALISM	
01-24-18	0540	774 Alderman Road	WELFARE CHECK	
