Crime Log: February 2018
Date	Time	Location	Description
1641		 1001 Emmet Street                         201802504/61	FRAUD 	
2105		 1215 Lee Street                        201802530/51	ASSIST CITIZEN 	
2203		 1215 Lee Street                    201802531/51	ASSIST AGENCY-WARRANT SERVICE 	
0007		 435 Tree House Drive            201802540/35	ASSIST CITIZEN/UNDERAGE POSSESSION 	
0846		 1101 Millmont Street                    201802559/39	ASSIST CITIZEN-MEDICAL 	
0940		 1210 Lee Street                            201802560/68	HIT AND RUN 	
0953		 1340 Jefferson Park Avenue                     201802561/32	TRAFFIC ACCIDENT 	
1342		 1215 Lee Street                            201802568/68	ASSIST AGENCY 	
1612		 1210 Lee Street                        201802573/51	DOMESTIC DISTURBANCE 	
2120		 1215 Lee Street                            201802589/51	LOST PROPERTY 	
0102		 478 Floyd Drive                201802614/62	ASSIST CITIZEN, UNDERAGE POSSESSION 	
0115		 450 McCormick Drive            201802616/36	ASSIST CITIZEN, UNDERAGE POSSESSION 	
0150		 1215 Lee Street                            201802620/36	LARCENY 	
1253		 555 McCormick Rd                         201802646/51	UNDERAGE POSSESSION 	
1900		561 McCormick Road                         201802689/15	SEXUAL ASSAULT 	
0017		 1136 Emmet Street                        201802693/36	SIMPLE ASSAULT 	
2336		 525 McCormick Road                            201802808/36	DIP 	
0952		 1315 Lee Street                        201802828/32	ASSIST CITIZEN 	
1001		 2304 Ivy Road                            201802829/26	ASSIST AGENCY 	
0007		 180 Culbreth Road                             201802869/44	SUICIDE 	
1105		 1215 Lee Street                    201802892/52	THREATENING TEXT MESSAGES 	
0520		 1215 Lee Street                        201802964/34	DRUNK IN PUBLIC 	
1395		 1101 Millmont Street                        201802981/33	FOUND PROPERTY 	
2209		 436 McCormick Road                201803011/63	ASSIST CITIZEN/UNDERAGE POSSESSION 	
2209		 436 McCormick Road                    201803017/63	POSSESSION OF MARIJUANA 	
0223		 425 Tree House Drive                    201803018/48	ASSIST CITIZEN 	
1030		 2304 Ivy Road                         201803035/33	SUSPICIOUS INCIDENT 	
1816		 2504 Stadium Road                             201803053/63	BURGLARY 	
2053		 510 Seymour Road                            201803064/62	BURGLARY 	
2219		128 Chancellor Street                      201803067/46	UNDERAGE POSSESSION 	
0042		 201 Sprigg Lane                        201803076/24	FOUND PROPERTY 	
0110		 463 Lambeth Road                    201803078/45	ASSIST CITIZEN/MEDICAL 	
0314		 201 Sprigg Lane                201803087/45	MEDICAL ASSIST/UNDERAGE POSSESSION 	
1056		 1215 Lee Street                            201803101/58	LARCENY 	
1132		 15 Alden Street                         201803102/52	ANNOYING EMAIL 	
1229		 278 North Peyton Court                        201803103/65	HIT AND RUN 	
1230		 406 Farrish Circle                              201803105/58	BURGLARY 	
1320		 31 Bonnycastle Drive                          201803106/52	PROPERTY DAMAGE 	
1619		 155 Rugby Road                              201803110/62	ASSIST AGENCY 	
1619		 155 Rugby Road                        201803114/62	NARCOTIC VIOLATION 	
1806		 547 Seymour Road                            201803118/62	BURGLARY 	
2202		 450 McCormick                201803139/46	NARCOTICS VIOLATION/UNDERAGE POSSESSION 	
2222		 155 Rugby Road                            201803141/62	ASSIST AGENCY 	
2349		MEDICAL ASSIST/UNDERAGE POSSESSION- 425 Tree House Drive            201803143/36	MEDICAL ASSIST/UNDERAGE POSSESSION- 425 Tree House Drive            201803143/36	
0015		 579 McCormick Road                201803145/36	MEDICAL ASSIST/UNDERAGE POSSESSION 	
0157		 1427 University Avenue                    201803159/44	DRUNK IN PUBLIC 	
0956		 314 W. Echols, McCormick                201803185/65	ASSIST CITIZEN-WELFARE CHECK 	
1516		 50 Lambeth Field                        201803202/62	SUSPICIOUS VEHICLE 	
1905		 525McCormick Road                201803226/46	ASSIST CITIZEN-UNDERAGE POSSESSION	
0238		 1619 University Avenue                            201803277/46	DUI 	
0313		 295 Massie Road                        201803279/36	DRUNK IN PUBLIC 	
0402		 1415 Jefferson Park Avenue                    201803281/56	DRUNK IN PUBLIC 	
0959		 1215 Lee Street                201803296/33	ASSIST AGENCY 	
2055		 450 Whitehead Road                20183343/46	SEX OFFENSE- FORCIBLE FONDLING 	
1916		 165 Rugby Avenue                            201803336/62	LARCENY 	
0056		 395 McCormick Road                         201803354/36	FIRES NOT ARSON	
		 The Lawn                        201803358/44	DRUNK IN PUBLIC/TRESPASS 	
		 2304 Ivy Road                            201803369/26	ASSIST AGENCY 	
1606		 102 Amphitheater Way                     201803375/31	DISTRIBUTION OF FLYERS 	
1617		 1215 Lee Street                        201803376/62	ANNOYING PHONE CALLS 	
0704		 14 East Lawn                         201803447/44	SUSPICIOUS FLYER 	
0722		 245 Hereford Drive                     201803448/34	DISTRIBUTION OF FLYERS 	
0644		 485 McCormick Road                         201803449/37	LOST PROPERTY	
		 1540 E JPA                        201803451/65	SUSPICIOUS NOTE ON DOOR 	
